ID,NAME,EMAIL,PHONE_NUMBER,PAYMENT_CARD_NUMBER,CVV,DOB,IP_ADDRESS,INDIAN_MOBILE,AADHAAR,PAN_CARD,VOTER_ID,IFSC_CODE,INDIAN_BANK_ACCOUNT,INDIAN_PASSPORT
1,Stuvan Gandhi,user_1@yahoo.com,+********5316,************4030,***,XX-XX-1990,***.13.113.13,+********0310,**** 1465 9020,XXXXXXXXXX,XXXXXXXXXX,FUVBXXXXXXX,**************3623,D71837878
2,Hazel Bhandari,user_2@gmail.com,+********9658,************5964,***,XX-XX-1978,***.***.***.229,+********3938,**** 1633 3924,XXXXXXXXXX,XXXXXXXXXX,CYFYXXXXXXX,**************0897,R56655145
3,Trisha Chaudry,user_3@bera-rastogi.com,+********7975,************7719,***,XX-XX-1990,***.227.224.247,+********8453,**** 8741 1490,XXXXXXXXXX,XXXXXXXXXX,NTLTXXXXXXX,*************6222,G35992681
4,Navya Sarin,user_4@gmail.com,******1370,************4007,***,XX-XX-1958,***.***.***.97,+********3790,**** 1389 7948,XXXXXXXXXX,XXXXXXXXXX,VGDXXXXXXXX,**************3007,B87359888
5,Keya Bal,user_5@gmail.com,+********7422,************5441,***,XX-XX-1992,***.166.107.18,+********1064,**** 6578 5123,XXXXXXXXXX,XXXXXXXXXX,HHPYXXXXXXX,**************4523,A36047039
6,Vivaan Desai,user_6@hotmail.com,+********0775,************3197,***,XX-XX-1969,***.178.40.37,+********1021,**** 4777 4191,XXXXXXXXXX,XXXXXXXXXX,FLQZXXXXXXX,**************2133,P25045591
7,Suhana Dara,user_7@sodhi.net,******0175,************5978,***,XX-XX-2005,***.184.234.15,+********5880,**** 1416 8985,XXXXXXXXXX,XXXXXXXXXX,ZXPFXXXXXXX,**************6045,A28985728
8,Ehsaan Sarraf,user_8@lata-varkey.biz,******3677,************5576,***,XX-XX-1986,***.123.45.10,+********0596,**** 8888 9991,XXXXXXXXXX,XXXXXXXXXX,XEKJXXXXXXX,**************4907,B54452429
9,Ayesha Kalla,user_9@gmail.com,*******3951,************7274,***,XX-XX-1955,***.64.154.90,+********5069,**** 8838 1099,XXXXXXXXXX,XXXXXXXXXX,NKYBXXXXXXX,*************6613,N18775152
10,Dhanush Mahal,user_10@chadha-hayre.net,+********0615,************8959,***,XX-XX-1987,***.***.***.94,+********5527,**** 6020 5529,XXXXXXXXXX,XXXXXXXXXX,KBORXXXXXXX,**************1939,Y99144578
