ID,NAME,EMAIL,PHONE_NUMBER,PAYMENT_CARD_NUMBER,CVV,DOB,IP_ADDRESS,INDIAN_MOBILE,AADHAAR,PAN_CARD,VOTER_ID,IFSC_CODE,INDIAN_BANK_ACCOUNT
1,Stuvan Gandhi,miraya65@yahoo.com,9.15497E+11,3723 3693 8950 4030,617,19-10-1990,213.13.113.13,9.16671E+11,7099 1465 9020,CRDVP8134D,MRF7636256,FUVB08CHV95,5.27965E+17
2,Hazel Bhandari,zaina26@gmail.com,9.17895E+11,1439 8032 4387 5964,492,26-06-1978,35.156.149.229,9.1648E+11,1186 1633 3924,XBXJC4356C,POS5464216,CYFY0HWNMVP,8.63361E+17
3,Trisha Chaudry,ritvikjayaraman@bera-rastogi.com,9.17947E+11,7103 6719 8252 7719,830,18-03-1990,170.227.224.247,9.17824E+11,5455 8741 1490,WFLIX4835Y,OOP6390252,NTLT0ORJCNN,8.43483E+16
4,Navya Sarin,rohan52@gmail.com,5362061370,9756 8068 7434 4007,140,2/6/1958,7.121.92.97,9.19768E+11,5242 1389 7948,DBXHH3586J,ETY8330385,VGDX03GMYLH,9.8115E+17
5,Keya Bal,jayaramanmohanlal@gmail.com,9.12729E+11,9663 7604 1353 5441,636,5/6/1992,177.166.107.18,9.17782E+11,4334 6578 5123,LEYYQ4133Z,ZJC1007475,HHPY0N2CFMY,7.20605E+17
6,Vivaan Desai,vihaanbhatia@hotmail.com,9.14915E+11,8290 1397 3362 3197,149,25-02-1969,166.178.40.37,9.16493E+11,3722 4777 4191,WBWBC6391I,PPS7906586,FLQZ0M3WTII,2.07991E+17
7,Suhana Dara,myradyal@sodhi.net,8310990175,3372 1834 8146 5978,423,14-06-2005,183.184.234.15,9.16822E+11,5586 1416 8985,CIFWJ3958D,YEQ1713487,ZXPF0H9MUJB,7.14893E+17
8,Ehsaan Sarraf,nganguly@lata-varkey.biz,2619213677,9753 7610 1301 5576,600,1/3/1986,201.123.45.10,9.18747E+11,1985 8888 9991,VAIIV5126M,ZMJ6878803,XEKJ0H2TZ4R,6.68264E+17
9,Ayesha Kalla,armaanmanne@gmail.com,5480003951,3734 3326 4183 7274,459,18-11-1955,142.64.154.90,9.18879E+11,1937 8838 1099,UQCDX5091H,RFJ9007581,NKYB03K9LOH,4.17574E+16
10,Dhanush Mahal,sanghasahil@chadha-hayre.net,9.13582E+11,4695 4541 3031 8959,911,2/5/1987,23.7.147.94,9.16876E+11,6743 6020 5529,GZYXC8162Y,HMZ4274017,KBOR0R6NUUS,1.38501E+17
11,Prisha Chana,eshani32@cheema.org,9.12795E+11,5186 6472 1289 3528,472,15-07-1975,203.132.13.168,9.17475E+11,1651 7382 5655,XACIF9482H,JRU8944974,KNGO0X66ZIY,1.21289E+17
12,Zoya Manne,idasgupta@yahoo.com,9.14247E+11,1297 5277 5497 3698,352,5/10/1997,115.54.4.184,9.19411E+11,5012 9577 4951,PJERK4913O,ICT6679537,TSCS0VQZCWE,6.45185E+17
13,Mamooty Solanki,adirasandhu@saxena.com,6421178827,1357 2751 7446 2682,489,23-09-1964,88.140.96.14,9.16376E+11,6981 7767 1008,CABRH9993S,XTH7078504,COIU06O6DYO,7.19997E+17
14,Kiaan Brar,aarush96@gandhi-chakrabarti.com,9.18363E+11,4857 4487 4276 5810,573,14-03-1963,25.150.33.142,9.18622E+11,6489 5529 2062,NBJRS7963T,TGT4272178,LNYY0410LAD,8.85359E+17
